Gravedad,Modalidad,Motivación,Área Geográfica,Crímenes Graves,Crímenes Menores,Crímenes Violentos,Crímenes No Violentos,Crímenes Motivación Económica,Crímenes de Odio,Crímenes de Pasión/Venganza,Crímenes Urbanos,Crímenes Rurales,Naturaleza,Temporalidad,Involucramiento Tecnológico,Estado del Caso,Crímenes contra Personas,Crímenes contra Propiedad,Crímenes Sexuales,Crímenes Económicos,Crímenes Periodo Anual,Crímenes Hora Día,Cibercrímenes,Crímenes Tradicionales,Casos Resueltos,Casos no resueltos
Alta,Robo de identidad,Criminal,Mérida,4134,684,Homicidio,Robo menor,Contrabando,Xenofobia,Celos,Robo,Caza ilegal,Fraude,2024-05-16,Ninguno,Resuelto,22,53,18,85,495,13,0,1,38,56
Media,Secuestro,Oportunidad,Ciudad de México,8609,2203,Violación,Fraude,Fraude bancario,Racismo,Celos,Asalto,Robo de ganado,Financiera,2024-05-24,Alto,No resuelto,49,54,22,69,297,18,1,1,83,53
Baja,Hurto menor,Oportunidad,Zacatecas,813,6058,Secuestro,Hurto,Contrabando,Xenofobia,Rencor,Robo,Robo de ganado,Criminal,2023-11-27,Bajo,Resuelto,9,25,22,4,581,1,1,1,52,4
Media,Hurto menor,Económica,Tijuana,3453,9902,Homicidio,Fraude,Fraude bancario,Xenofobia,Celos,Vandalismo,Tráfico de especies,Fraude,2024-05-03,Alto,Resuelto,46,82,96,31,81,18,1,0,56,50
Media,Extorsión,Fraude,Durango,2062,5439,Asalto,Robo menor,Contrabando,Racismo,Despecho,Asalto,Robo de ganado,Fraude,2024-10-04,Bajo,No resuelto,83,88,65,41,452,15,0,0,59,64
Alta,Robo de vehículos,Rescate,Ciudad de México,9752,1942,Homicidio,Fraude,Fraude bancario,Racismo,Despecho,Robo,Caza ilegal,Financiera,2024-05-16,Alto,No resuelto,6,46,43,84,257,2,1,0,11,85
Alta,Vandalismo,Oportunidad,Saltillo,7951,904,Violación,Robo menor,Contrabando,Racismo,Rencor,Robo,Tráfico de especies,Criminal,2024-08-30,Bajo,Resuelto,28,74,55,55,337,24,1,1,63,38
Baja,Asalto con violencia,Fraude,Monterrey,9494,7971,Homicidio,Hurto,Contrabando,Racismo,Celos,Asalto,Tráfico de especies,Criminal,2023-10-30,Bajo,No resuelto,8,88,81,43,969,18,1,1,24,58
Alta,Robo de vehículos,Protesta,Mérida,1756,4075,Homicidio,Fraude,Contrabando,Homofobia,Despecho,Vandalismo,Tráfico de especies,Oportunidad,2024-03-22,Ninguno,No resuelto,93,97,10,94,545,3,0,1,65,92
Media,Acoso verbal,Económica,León,4301,5345,Violación,Fraude,Lavado de dinero,Xenofobia,Despecho,Asalto,Tráfico de especies,Criminal,2024-07-11,Alto,No resuelto,25,68,60,49,476,1,1,1,63,22
Media,Hurto,Rencor,Tijuana,2732,9712,Homicidio,Hurto,Lavado de dinero,Racismo,Rencor,Asalto,Tráfico de especies,Financiera,2023-11-15,Ninguno,Resuelto,91,39,18,76,949,23,1,1,11,32
Baja,Hurto,Financiera,Mexicali,2912,14,Homicidio,Hurto,Lavado de dinero,Racismo,Celos,Robo,Tráfico de especies,Financiera,2024-04-14,Bajo,Resuelto,50,24,57,13,842,19,1,0,57,8
Alta,Daños a la propiedad,Financiera,Torreón,9044,7210,Homicidio,Robo menor,Fraude bancario,Racismo,Despecho,Vandalismo,Caza ilegal,Financiera,2024-06-26,Alto,No resuelto,12,89,47,27,318,1,1,0,40,69
Media,Robo de identidad,Financiera,Mexicali,9464,5134,Secuestro,Fraude,Lavado de dinero,Xenofobia,Rencor,Asalto,Robo de ganado,Financiera,2024-01-07,Bajo,Resuelto,74,96,98,9,74,18,1,1,16,23
Media,Fraude electrónico,Financiera,Puebla,587,4000,Secuestro,Hurto,Fraude bancario,Xenofobia,Despecho,Robo,Robo de ganado,Fraude,2024-03-04,Ninguno,Resuelto,59,60,13,59,217,11,0,1,65,28
Alta,Secuestro,Personal,Monterrey,1613,9570,Secuestro,Estafa,Fraude bancario,Homofobia,Celos,Vandalismo,Robo de ganado,Criminal,2024-08-01,Bajo,Resuelto,62,73,47,56,250,5,1,1,23,18
Media,Vandalismo,Rencor,Mexicali,2220,9383,Asalto,Robo menor,Fraude bancario,Homofobia,Celos,Asalto,Tráfico de especies,Financiera,2024-05-17,Alto,Resuelto,18,74,2,92,859,14,1,1,39,11
Baja,Hurto menor,Económica,Guadalajara,8960,9587,Secuestro,Fraude,Fraude bancario,Xenofobia,Celos,Vandalismo,Caza ilegal,Fraude,2024-10-07,Alto,No resuelto,16,11,99,26,673,24,0,1,42,51
Baja,Homicidio,Rescate,Zacatecas,8915,8606,Secuestro,Estafa,Contrabando,Homofobia,Despecho,Robo,Robo de ganado,Fraude,2024-05-09,Ninguno,Resuelto,30,11,69,57,532,24,0,0,51,88
Media,Violencia doméstica,Financiera,La Paz,9865,5167,Violación,Estafa,Fraude bancario,Racismo,Celos,Robo,Robo de ganado,Oportunidad,2024-09-02,Bajo,No resuelto,11,2,4,2,237,18,0,0,37,45
Baja,Violencia doméstica,Protesta,Monterrey,1943,8978,Homicidio,Robo menor,Fraude bancario,Xenofobia,Celos,Vandalismo,Tráfico de especies,Criminal,2024-01-23,Bajo,Resuelto,98,73,70,94,538,11,0,0,14,18
Baja,Daños a la propiedad,Rencor,Querétaro,8625,8535,Homicidio,Hurto,Fraude bancario,Racismo,Celos,Vandalismo,Caza ilegal,Financiera,2024-07-29,Bajo,Resuelto,26,1,27,67,915,19,1,1,17,11
Media,Asalto con violencia,Fraude,Puebla,9606,5492,Homicidio,Estafa,Fraude bancario,Xenofobia,Rencor,Asalto,Tráfico de especies,Financiera,2024-05-11,Ninguno,No resuelto,81,64,5,26,259,13,0,1,5,54
Media,Fraude bancario,Oportunidad,Monterrey,3543,5730,Extorsión,Hurto,Lavado de dinero,Homofobia,Celos,Vandalismo,Tráfico de especies,Financiera,2024-01-16,Bajo,No resuelto,49,46,57,40,251,16,1,0,99,5
Baja,Vandalismo,Económica,Toluca,3769,3797,Extorsión,Hurto,Contrabando,Xenofobia,Rencor,Vandalismo,Robo de ganado,Criminal,2023-12-03,Alto,No resuelto,97,34,16,43,519,8,1,1,24,49
Media,Extorsión,Personal,Monterrey,1098,5734,Asalto,Hurto,Lavado de dinero,Homofobia,Despecho,Vandalismo,Tráfico de especies,Criminal,2024-04-15,Ninguno,No resuelto,4,73,33,36,991,16,0,1,36,26
Alta,Homicidio,Fraude,Mérida,1718,7513,Homicidio,Fraude,Lavado de dinero,Homofobia,Rencor,Asalto,Caza ilegal,Fraude,2024-03-03,Alto,No resuelto,40,4,67,17,493,5,0,1,99,87
Media,Contrabando,Personal,Tijuana,4231,7828,Asalto,Fraude,Fraude bancario,Homofobia,Celos,Asalto,Robo de ganado,Criminal,2024-09-08,Bajo,Resuelto,26,0,71,83,701,9,0,1,67,38
Media,Violencia doméstica,Rencor,Torreón,5392,3118,Homicidio,Estafa,Contrabando,Homofobia,Rencor,Asalto,Tráfico de especies,Criminal,2024-03-03,Alto,Resuelto,14,83,12,69,215,22,1,1,45,33
Baja,Daños a la propiedad,Criminal,Aguascalientes,2639,2966,Secuestro,Fraude,Fraude bancario,Homofobia,Rencor,Vandalismo,Robo de ganado,Oportunidad,2024-10-08,Bajo,No resuelto,99,81,58,78,84,23,0,1,77,43
Media,Estafa,Económica,Zacatecas,1863,2466,Secuestro,Robo menor,Fraude bancario,Xenofobia,Despecho,Robo,Tráfico de especies,Fraude,2024-07-12,Alto,No resuelto,30,58,94,69,572,18,1,0,43,22
Media,Vandalismo,Oportunidad,Zacatecas,3413,2747,Homicidio,Estafa,Lavado de dinero,Xenofobia,Rencor,Asalto,Caza ilegal,Financiera,2024-02-12,Alto,Resuelto,84,82,69,59,802,19,1,0,86,53
Media,Ciberacoso,Personal,Tijuana,8232,7867,Homicidio,Estafa,Contrabando,Racismo,Celos,Vandalismo,Caza ilegal,Criminal,2024-05-11,Ninguno,No resuelto,40,63,88,65,876,21,0,1,5,53
Alta,Vandalismo,Económica,Mérida,2007,5602,Homicidio,Fraude,Contrabando,Homofobia,Celos,Robo,Robo de ganado,Fraude,2024-08-15,Ninguno,No resuelto,39,22,77,41,44,5,1,1,37,31
Alta,Violencia doméstica,Criminal,Querétaro,5886,88,Violación,Hurto,Fraude bancario,Homofobia,Despecho,Asalto,Tráfico de especies,Criminal,2024-07-12,Bajo,No resuelto,30,84,4,52,444,1,0,1,40,80
Media,Fraude bancario,Fraude,Toluca,4037,5810,Asalto,Fraude,Fraude bancario,Xenofobia,Celos,Robo,Caza ilegal,Fraude,2023-11-23,Alto,Resuelto,65,78,46,73,539,10,1,1,1,31
Baja,Contrabando,Rencor,Saltillo,9584,7986,Violación,Hurto,Lavado de dinero,Xenofobia,Rencor,Asalto,Tráfico de especies,Fraude,2024-04-08,Ninguno,No resuelto,39,87,11,3,564,4,0,0,20,4
Alta,Daños a la propiedad,Rescate,Mexicali,4030,8529,Secuestro,Robo menor,Contrabando,Xenofobia,Celos,Vandalismo,Caza ilegal,Financiera,2024-01-28,Ninguno,Resuelto,98,50,76,39,598,1,1,1,29,9
Media,Vandalismo,Personal,Veracruz,1443,3543,Secuestro,Hurto,Fraude bancario,Xenofobia,Rencor,Asalto,Robo de ganado,Oportunidad,2024-05-18,Bajo,No resuelto,25,44,57,43,863,8,0,0,2,71
Alta,Acoso verbal,Rencor,Hermosillo,2527,534,Extorsión,Robo menor,Fraude bancario,Racismo,Celos,Vandalismo,Caza ilegal,Oportunidad,2024-03-11,Bajo,No resuelto,64,18,58,74,983,0,0,0,77,98
Baja,Robo de vehículos,Oportunidad,Monterrey,9658,9956,Asalto,Estafa,Fraude bancario,Racismo,Rencor,Asalto,Caza ilegal,Financiera,2024-03-19,Ninguno,Resuelto,69,92,73,6,532,10,1,0,26,20
Baja,Estafa,Personal,Veracruz,7966,3123,Extorsión,Estafa,Fraude bancario,Xenofobia,Rencor,Asalto,Tráfico de especies,Financiera,2023-11-24,Alto,No resuelto,33,21,77,58,305,12,0,0,12,11
Baja,Homicidio,Criminal,Tijuana,3551,4139,Secuestro,Fraude,Fraude bancario,Homofobia,Despecho,Asalto,Tráfico de especies,Fraude,2023-11-06,Bajo,Resuelto,54,67,60,40,674,4,0,0,61,41
Baja,Vandalismo,Económica,Zacatecas,2243,6667,Extorsión,Estafa,Lavado de dinero,Racismo,Despecho,Robo,Caza ilegal,Financiera,2024-02-18,Bajo,Resuelto,87,14,19,56,210,8,1,0,83,99
Baja,Ciberacoso,Rescate,Durango,6323,8071,Secuestro,Estafa,Contrabando,Homofobia,Rencor,Asalto,Caza ilegal,Oportunidad,2024-04-28,Alto,No resuelto,3,97,22,47,373,5,1,1,55,7
Baja,Violencia doméstica,Financiera,Mérida,5793,9248,Extorsión,Robo menor,Contrabando,Homofobia,Celos,Vandalismo,Robo de ganado,Fraude,2024-01-13,Ninguno,No resuelto,0,89,67,93,990,2,0,0,31,95
Media,Robo de identidad,Rencor,Durango,6849,5959,Asalto,Estafa,Lavado de dinero,Homofobia,Rencor,Robo,Tráfico de especies,Fraude,2024-05-04,Bajo,No resuelto,36,93,20,71,862,3,1,1,25,78
Media,Ciberacoso,Oportunidad,Reynosa,4014,7400,Violación,Robo menor,Contrabando,Racismo,Celos,Vandalismo,Caza ilegal,Criminal,2024-06-07,Ninguno,Resuelto,63,70,48,59,201,19,1,1,80,52
Baja,Hurto menor,Fraude,Reynosa,7580,6082,Homicidio,Estafa,Contrabando,Homofobia,Celos,Robo,Caza ilegal,Oportunidad,2024-08-09,Ninguno,Resuelto,20,6,83,66,594,8,0,0,40,88
Baja,Hurto,Fraude,Torreón,4938,3386,Violación,Robo menor,Fraude bancario,Homofobia,Celos,Vandalismo,Caza ilegal,Fraude,2024-01-10,Bajo,No resuelto,55,62,1,23,757,18,1,0,6,97
Alta,Violencia doméstica,Oportunidad,Querétaro,5717,7648,Homicidio,Robo menor,Fraude bancario,Racismo,Despecho,Robo,Tráfico de especies,Fraude,2024-02-04,Bajo,No resuelto,18,2,18,5,636,6,1,1,56,93
Media,Ciberacoso,Financiera,Aguascalientes,8449,3681,Asalto,Robo menor,Fraude bancario,Racismo,Despecho,Vandalismo,Caza ilegal,Criminal,2023-11-03,Bajo,No resuelto,5,30,10,88,865,6,1,0,18,6
Baja,Fraude electrónico,Oportunidad,Mexicali,6738,3503,Secuestro,Robo menor,Lavado de dinero,Racismo,Rencor,Vandalismo,Robo de ganado,Oportunidad,2024-01-09,Ninguno,Resuelto,87,98,36,5,477,22,1,0,34,44
Alta,Acoso verbal,Protesta,Saltillo,7195,7893,Violación,Robo menor,Contrabando,Xenofobia,Celos,Robo,Caza ilegal,Criminal,2024-05-26,Bajo,Resuelto,13,70,58,78,858,16,0,1,51,12
Alta,Acoso verbal,Oportunidad,Reynosa,497,6847,Asalto,Estafa,Contrabando,Xenofobia,Celos,Vandalismo,Tráfico de especies,Oportunidad,2024-03-08,Bajo,Resuelto,86,96,50,82,482,4,0,0,24,91
Alta,Hurto,Oportunidad,La Paz,5425,1510,Asalto,Estafa,Fraude bancario,Racismo,Celos,Robo,Tráfico de especies,Fraude,2024-04-13,Bajo,Resuelto,91,18,97,88,769,0,0,1,58,55
Baja,Vandalismo,Rescate,Guadalajara,8319,1130,Homicidio,Estafa,Lavado de dinero,Racismo,Despecho,Robo,Robo de ganado,Financiera,2024-03-17,Alto,Resuelto,3,92,6,36,329,20,0,1,99,10
Alta,Asalto con violencia,Financiera,Querétaro,1203,7014,Asalto,Robo menor,Contrabando,Xenofobia,Celos,Vandalismo,Caza ilegal,Financiera,2023-12-19,Ninguno,Resuelto,8,79,78,100,982,4,0,1,74,55
Alta,Robo de vehículos,Oportunidad,Chihuahua,8951,3581,Homicidio,Fraude,Contrabando,Racismo,Celos,Asalto,Tráfico de especies,Financiera,2024-03-21,Bajo,Resuelto,39,20,99,9,476,17,1,0,67,39
Alta,Ciberacoso,Rescate,Saltillo,6,8404,Violación,Fraude,Contrabando,Racismo,Rencor,Robo,Tráfico de especies,Oportunidad,2024-04-05,Bajo,Resuelto,37,43,54,45,474,21,0,0,55,40
Media,Ciberacoso,Personal,Puebla,8187,1281,Secuestro,Hurto,Fraude bancario,Xenofobia,Despecho,Robo,Robo de ganado,Oportunidad,2024-03-22,Ninguno,Resuelto,56,30,78,14,964,6,1,1,32,63
Media,Contrabando,Oportunidad,Chihuahua,1236,8231,Secuestro,Robo menor,Lavado de dinero,Homofobia,Rencor,Asalto,Robo de ganado,Fraude,2024-01-30,Bajo,Resuelto,10,29,97,9,32,10,0,0,18,18
Alta,Violencia doméstica,Personal,Puebla,2316,9303,Secuestro,Estafa,Fraude bancario,Racismo,Celos,Asalto,Robo de ganado,Fraude,2024-09-28,Ninguno,Resuelto,20,25,71,53,934,2,1,1,40,76
Baja,Estafa,Financiera,Puebla,8018,4637,Homicidio,Estafa,Lavado de dinero,Xenofobia,Celos,Vandalismo,Tráfico de especies,Financiera,2024-10-06,Alto,Resuelto,40,11,83,13,73,17,1,1,47,6
Alta,Homicidio,Fraude,Hermosillo,1252,4310,Extorsión,Fraude,Lavado de dinero,Xenofobia,Rencor,Asalto,Tráfico de especies,Criminal,2024-08-09,Alto,Resuelto,8,28,24,47,72,11,1,0,60,47
Media,Hurto,Financiera,Durango,3838,8896,Extorsión,Estafa,Contrabando,Racismo,Celos,Robo,Caza ilegal,Financiera,2024-06-16,Bajo,No resuelto,42,3,75,14,627,2,0,1,93,34
Alta,Extorsión,Financiera,León,2868,2146,Secuestro,Hurto,Lavado de dinero,Homofobia,Celos,Robo,Caza ilegal,Oportunidad,2024-05-14,Ninguno,No resuelto,68,56,82,17,79,18,0,0,34,30
Media,Homicidio,Financiera,Puebla,9249,6153,Asalto,Estafa,Fraude bancario,Xenofobia,Despecho,Vandalismo,Caza ilegal,Financiera,2024-07-07,Alto,No resuelto,84,19,64,13,450,15,1,0,32,78
Media,Hurto menor,Financiera,Puebla,3345,9468,Asalto,Estafa,Lavado de dinero,Homofobia,Celos,Robo,Robo de ganado,Fraude,2024-07-30,Ninguno,Resuelto,69,80,5,57,552,10,1,1,50,58
Baja,Extorsión,Personal,Monterrey,3557,8144,Homicidio,Estafa,Fraude bancario,Homofobia,Celos,Asalto,Tráfico de especies,Oportunidad,2024-08-03,Alto,Resuelto,45,8,71,38,137,22,0,1,27,19
Media,Vandalismo,Rescate,Mexicali,2347,7845,Homicidio,Hurto,Fraude bancario,Homofobia,Despecho,Vandalismo,Robo de ganado,Financiera,2024-05-02,Ninguno,No resuelto,23,57,80,31,881,3,0,0,20,49
Media,Vandalismo,Personal,Tijuana,2727,5424,Secuestro,Fraude,Lavado de dinero,Racismo,Celos,Robo,Tráfico de especies,Oportunidad,2023-10-23,Ninguno,No resuelto,36,96,96,19,928,3,0,0,72,64
Alta,Contrabando,Criminal,Mérida,2204,9527,Secuestro,Hurto,Contrabando,Homofobia,Despecho,Robo,Tráfico de especies,Criminal,2024-06-08,Alto,Resuelto,20,13,73,37,457,1,1,0,92,91
Alta,Contrabando,Económica,Chihuahua,5076,7051,Extorsión,Robo menor,Fraude bancario,Racismo,Celos,Vandalismo,Caza ilegal,Fraude,2024-08-05,Bajo,Resuelto,54,34,29,98,613,13,0,0,56,88
Baja,Extorsión,Oportunidad,Chihuahua,1969,8189,Violación,Robo menor,Contrabando,Homofobia,Rencor,Vandalismo,Robo de ganado,Oportunidad,2024-06-09,Alto,No resuelto,16,47,34,17,217,24,0,1,75,35
Media,Vandalismo,Fraude,La Paz,4850,708,Asalto,Robo menor,Fraude bancario,Racismo,Rencor,Robo,Tráfico de especies,Criminal,2024-09-29,Alto,No resuelto,82,49,76,31,637,9,0,1,59,86
Media,Robo de identidad,Financiera,Veracruz,9589,5400,Asalto,Robo menor,Lavado de dinero,Racismo,Rencor,Robo,Robo de ganado,Criminal,2023-10-23,Ninguno,Resuelto,41,13,51,11,323,23,1,1,87,36
Media,Violencia doméstica,Financiera,León,3602,6023,Extorsión,Hurto,Contrabando,Racismo,Celos,Robo,Robo de ganado,Criminal,2024-04-04,Bajo,No resuelto,48,64,13,14,110,6,1,0,12,41
Baja,Fraude electrónico,Personal,La Paz,2547,3141,Violación,Hurto,Lavado de dinero,Racismo,Despecho,Robo,Caza ilegal,Criminal,2024-09-29,Ninguno,Resuelto,54,68,28,3,617,4,1,1,65,73
Alta,Acoso verbal,Protesta,La Paz,4566,5222,Extorsión,Fraude,Contrabando,Xenofobia,Despecho,Vandalismo,Robo de ganado,Oportunidad,2024-02-18,Ninguno,Resuelto,48,44,83,30,76,17,0,0,43,54
Alta,Extorsión,Criminal,Toluca,8939,3875,Homicidio,Hurto,Lavado de dinero,Racismo,Despecho,Robo,Tráfico de especies,Oportunidad,2024-01-05,Alto,Resuelto,53,25,3,0,54,8,1,1,96,93
Media,Extorsión,Criminal,Puebla,4849,8230,Violación,Fraude,Lavado de dinero,Homofobia,Celos,Asalto,Robo de ganado,Fraude,2024-07-31,Ninguno,No resuelto,33,47,96,37,784,22,1,0,7,18
Baja,Estafa,Rencor,Torreón,4635,4281,Homicidio,Fraude,Fraude bancario,Homofobia,Celos,Vandalismo,Robo de ganado,Fraude,2024-09-08,Bajo,No resuelto,44,44,92,50,704,2,0,1,65,28
Baja,Hurto menor,Protesta,Reynosa,5637,6291,Extorsión,Robo menor,Fraude bancario,Racismo,Despecho,Robo,Tráfico de especies,Criminal,2024-02-06,Bajo,Resuelto,34,1,58,52,348,4,1,1,35,18
Baja,Asalto con violencia,Criminal,Saltillo,2804,4981,Extorsión,Estafa,Contrabando,Racismo,Rencor,Robo,Robo de ganado,Fraude,2023-11-28,Alto,No resuelto,92,92,71,31,864,3,1,0,80,75
Baja,Estafa,Criminal,Aguascalientes,5291,8066,Asalto,Fraude,Lavado de dinero,Homofobia,Celos,Vandalismo,Robo de ganado,Financiera,2024-03-31,Alto,Resuelto,64,96,50,48,568,14,1,0,57,63
Baja,Violencia doméstica,Rencor,Chihuahua,3926,9620,Extorsión,Estafa,Contrabando,Homofobia,Rencor,Vandalismo,Tráfico de especies,Fraude,2024-02-17,Bajo,Resuelto,23,69,43,31,408,23,1,0,13,29
Alta,Robo de vehículos,Personal,Reynosa,9233,7437,Violación,Hurto,Contrabando,Homofobia,Despecho,Asalto,Caza ilegal,Fraude,2024-01-24,Alto,Resuelto,80,86,86,80,956,13,0,0,94,47
Baja,Vandalismo,Financiera,Guadalajara,6809,1501,Violación,Robo menor,Lavado de dinero,Xenofobia,Celos,Asalto,Robo de ganado,Financiera,2024-03-10,Bajo,No resuelto,22,42,10,35,652,7,0,0,36,8
Alta,Fraude bancario,Financiera,Guadalajara,5257,7182,Homicidio,Fraude,Lavado de dinero,Homofobia,Celos,Vandalismo,Robo de ganado,Oportunidad,2023-12-16,Ninguno,No resuelto,41,97,80,8,488,17,0,0,18,34
Media,Vandalismo,Personal,Aguascalientes,1204,8251,Homicidio,Robo menor,Fraude bancario,Xenofobia,Despecho,Robo,Tráfico de especies,Fraude,2024-03-04,Ninguno,No resuelto,57,5,88,24,187,16,1,1,30,72
Alta,Hurto,Oportunidad,Aguascalientes,6378,731,Homicidio,Fraude,Lavado de dinero,Xenofobia,Despecho,Robo,Tráfico de especies,Financiera,2023-12-31,Alto,No resuelto,35,15,94,57,669,23,0,0,39,7
Media,Acoso verbal,Protesta,La Paz,946,4867,Homicidio,Hurto,Contrabando,Xenofobia,Despecho,Robo,Tráfico de especies,Oportunidad,2024-10-11,Ninguno,Resuelto,4,58,74,5,803,3,0,0,66,74
Alta,Violencia doméstica,Protesta,Saltillo,4361,9806,Asalto,Hurto,Lavado de dinero,Xenofobia,Rencor,Asalto,Caza ilegal,Fraude,2023-11-20,Ninguno,Resuelto,32,90,63,46,498,5,0,1,38,92
Media,Robo de vehículos,Criminal,León,2546,7792,Secuestro,Robo menor,Fraude bancario,Racismo,Despecho,Robo,Tráfico de especies,Fraude,2024-08-04,Ninguno,Resuelto,22,57,31,73,343,14,1,1,46,99
Baja,Daños a la propiedad,Fraude,Torreón,1591,3604,Asalto,Fraude,Contrabando,Xenofobia,Rencor,Asalto,Caza ilegal,Oportunidad,2024-08-13,Ninguno,Resuelto,41,14,14,44,545,13,1,0,89,79
Baja,Extorsión,Económica,León,7395,9582,Asalto,Hurto,Contrabando,Homofobia,Celos,Vandalismo,Robo de ganado,Financiera,2024-09-27,Ninguno,No resuelto,30,47,14,53,560,14,1,1,30,16
Baja,Hurto menor,Económica,Monterrey,9412,678,Extorsión,Robo menor,Lavado de dinero,Homofobia,Despecho,Robo,Robo de ganado,Oportunidad,2024-09-09,Bajo,No resuelto,42,73,24,91,500,7,1,1,78,27
Alta,Tráfico de drogas,Criminal,Mérida,3542,3355,Homicidio,Estafa,Contrabando,Xenofobia,Rencor,Vandalismo,Caza ilegal,Criminal,2024-06-27,Bajo,No resuelto,88,33,27,98,111,4,1,0,93,52
Baja,Fraude bancario,Personal,Toluca,2483,312,Violación,Hurto,Lavado de dinero,Racismo,Celos,Asalto,Caza ilegal,Financiera,2024-05-19,Bajo,Resuelto,47,85,74,48,764,24,0,0,62,9
Baja,Tráfico de drogas,Fraude,Reynosa,604,854,Homicidio,Robo menor,Contrabando,Racismo,Despecho,Robo,Tráfico de especies,Fraude,2024-07-27,Ninguno,Resuelto,63,58,24,60,458,6,0,0,97,34
Alta,Ciberacoso,Económica,Puebla,7275,8428,Homicidio,Robo menor,Contrabando,Homofobia,Despecho,Asalto,Tráfico de especies,Financiera,2023-10-22,Ninguno,No resuelto,48,4,77,21,156,17,1,0,4,21
Media,Robo de identidad,Protesta,Durango,4807,2666,Violación,Estafa,Fraude bancario,Homofobia,Rencor,Vandalismo,Caza ilegal,Criminal,2024-10-07,Bajo,Resuelto,23,65,66,15,866,8,0,1,9,66
Baja,Ciberacoso,Rencor,Aguascalientes,2528,5983,Asalto,Hurto,Contrabando,Homofobia,Celos,Asalto,Tráfico de especies,Criminal,2024-05-25,Bajo,No resuelto,7,87,97,50,48,4,0,1,73,38
Alta,Daños a la propiedad,Fraude,Mexicali,6090,3562,Secuestro,Hurto,Lavado de dinero,Racismo,Rencor,Vandalismo,Caza ilegal,Oportunidad,2024-08-20,Ninguno,Resuelto,62,73,4,0,782,18,1,1,66,54
Media,Robo de identidad,Oportunidad,Durango,9341,375,Secuestro,Fraude,Fraude bancario,Racismo,Despecho,Vandalismo,Tráfico de especies,Financiera,2024-09-12,Ninguno,Resuelto,25,34,94,36,510,8,1,0,19,35
Baja,Robo de vehículos,Personal,Saltillo,8285,4304,Secuestro,Robo menor,Lavado de dinero,Xenofobia,Rencor,Vandalismo,Robo de ganado,Fraude,2024-07-09,Bajo,No resuelto,82,98,90,34,805,16,1,1,14,78
Baja,Secuestro,Rencor,Mexicali,9027,2085,Violación,Robo menor,Fraude bancario,Racismo,Despecho,Asalto,Caza ilegal,Fraude,2023-11-22,Alto,Resuelto,2,66,31,3,48,22,1,1,89,64
Baja,Asalto con violencia,Protesta,Reynosa,6424,917,Extorsión,Robo menor,Contrabando,Xenofobia,Despecho,Vandalismo,Caza ilegal,Financiera,2023-10-26,Ninguno,Resuelto,84,33,85,48,24,15,0,1,62,61
Alta,Vandalismo,Oportunidad,Puebla,8855,7803,Asalto,Hurto,Contrabando,Homofobia,Celos,Asalto,Caza ilegal,Fraude,2024-05-24,Ninguno,No resuelto,70,32,6,14,147,1,0,1,39,21
Baja,Robo de vehículos,Protesta,Mérida,9394,4110,Violación,Estafa,Lavado de dinero,Racismo,Celos,Vandalismo,Caza ilegal,Financiera,2023-11-26,Alto,Resuelto,7,81,14,25,678,18,1,0,48,55
Baja,Asalto con violencia,Rescate,Guadalajara,2274,5601,Secuestro,Hurto,Fraude bancario,Xenofobia,Rencor,Robo,Tráfico de especies,Oportunidad,2024-01-18,Bajo,No resuelto,52,16,61,83,945,13,1,0,86,79
Media,Fraude electrónico,Rencor,Veracruz,8159,6358,Asalto,Fraude,Fraude bancario,Racismo,Despecho,Vandalismo,Tráfico de especies,Fraude,2024-07-06,Ninguno,No resuelto,53,37,64,90,661,22,1,1,18,83
Media,Robo de identidad,Criminal,Guadalajara,6469,6913,Extorsión,Estafa,Fraude bancario,Racismo,Celos,Asalto,Tráfico de especies,Financiera,2023-12-20,Alto,Resuelto,19,7,89,53,331,23,0,0,32,28
Alta,Homicidio,Personal,Monterrey,4990,9921,Extorsión,Hurto,Fraude bancario,Racismo,Celos,Asalto,Caza ilegal,Criminal,2023-11-22,Ninguno,Resuelto,52,84,36,67,846,14,0,0,97,97
Baja,Extorsión,Criminal,Toluca,9183,8573,Homicidio,Fraude,Contrabando,Homofobia,Rencor,Robo,Robo de ganado,Oportunidad,2024-09-26,Alto,Resuelto,52,27,69,27,260,8,1,0,66,31
Media,Secuestro,Protesta,Veracruz,7168,4188,Extorsión,Robo menor,Lavado de dinero,Racismo,Despecho,Vandalismo,Robo de ganado,Fraude,2024-07-17,Ninguno,Resuelto,37,32,14,59,447,24,1,1,36,51
Alta,Secuestro,Personal,Tijuana,473,8579,Secuestro,Robo menor,Lavado de dinero,Homofobia,Despecho,Robo,Tráfico de especies,Fraude,2024-07-14,Ninguno,No resuelto,67,15,90,61,654,8,1,1,95,24
Media,Acoso verbal,Económica,Mexicali,860,6095,Asalto,Hurto,Fraude bancario,Racismo,Celos,Vandalismo,Tráfico de especies,Fraude,2024-03-27,Alto,No resuelto,17,20,55,29,411,1,1,0,25,72
Alta,Extorsión,Oportunidad,Tijuana,2702,8992,Secuestro,Hurto,Contrabando,Racismo,Despecho,Robo,Robo de ganado,Financiera,2024-10-04,Alto,Resuelto,69,45,91,1,442,17,0,1,14,75
